"flex","curva","valor"
0,"Sesgo cuadrático (bias²)",0.45
0,"Varianza",0
0,"Error de Bayes (irreducible)",0.06
0,"Error de prueba (Test MSE)",0.51
0,"Error de entrenamiento",0.6
0.00166944908180301,"Sesgo cuadrático (bias²)",0.448498750003484
0.00166944908180301,"Varianza",1.53288313020309e-06
0.00166944908180301,"Error de Bayes (irreducible)",0.06
0.00166944908180301,"Error de prueba (Test MSE)",0.508500282886614
0.00166944908180301,"Error de entrenamiento",0.59908194235802
0.00333889816360601,"Sesgo cuadrático (bias²)",0.447000008361181
0.00333889816360601,"Varianza",6.13153252081237e-06
0.00333889816360601,"Error de Bayes (irreducible)",0.06
0.00333889816360601,"Error de prueba (Test MSE)",0.507006139893702
0.00333889816360601,"Error de entrenamiento",0.598164163422064
0.00500834724540901,"Sesgo cuadrático (bias²)",0.445503775073091
0.00500834724540901,"Varianza",1.37959481718278e-05
0.00500834724540901,"Error de Bayes (irreducible)",0.06
0.00500834724540901,"Error de prueba (Test MSE)",0.505517571021262
0.00500834724540901,"Error de entrenamiento",0.597246663192131
0.00667779632721202,"Sesgo cuadrático (bias²)",0.444010050139214
0.00667779632721202,"Varianza",2.45261300832495e-05
0.00667779632721202,"Error de Bayes (irreducible)",0.06
0.00667779632721202,"Error de prueba (Test MSE)",0.504034576269297
0.00667779632721202,"Error de entrenamiento",0.596329441668223
0.00834724540901502,"Sesgo cuadrático (bias²)",0.44251883355955
0.00834724540901502,"Varianza",3.83220782550773e-05
0.00834724540901502,"Error de Bayes (irreducible)",0.06
0.00834724540901502,"Error de prueba (Test MSE)",0.502557155637805
0.00834724540901502,"Error de entrenamiento",0.595412498850338
0.010016694490818,"Sesgo cuadrático (bias²)",0.441030125334099
0.010016694490818,"Varianza",5.51837926873114e-05
0.010016694490818,"Error de Bayes (irreducible)",0.06
0.010016694490818,"Error de prueba (Test MSE)",0.501085309126786
0.010016694490818,"Error de entrenamiento",0.594495834738476
0.011686143572621,"Sesgo cuadrático (bias²)",0.439543925462861
0.011686143572621,"Varianza",7.51112733799516e-05
0.011686143572621,"Error de Bayes (irreducible)",0.06
0.011686143572621,"Error de prueba (Test MSE)",0.499619036736241
0.011686143572621,"Error de entrenamiento",0.593579449332638
0.013355592654424,"Sesgo cuadrático (bias²)",0.438060233945836
0.013355592654424,"Varianza",9.8104520332998e-05
0.013355592654424,"Error de Bayes (irreducible)",0.06
0.013355592654424,"Error de prueba (Test MSE)",0.498158338466169
0.013355592654424,"Error de entrenamiento",0.592663342632824
0.015025041736227,"Sesgo cuadrático (bias²)",0.436579050783025
0.015025041736227,"Varianza",0.000124163533546451
0.015025041736227,"Error de Bayes (irreducible)",0.06
0.015025041736227,"Error de prueba (Test MSE)",0.496703214316571
0.015025041736227,"Error de entrenamiento",0.591747514639034
0.01669449081803,"Sesgo cuadrático (bias²)",0.435100375974426
0.01669449081803,"Varianza",0.000153288313020309
0.01669449081803,"Error de Bayes (irreducible)",0.06
0.01669449081803,"Error de prueba (Test MSE)",0.495253664287446
0.01669449081803,"Error de entrenamiento",0.590831965351267
0.0183639398998331,"Sesgo cuadrático (bias²)",0.43362420952004
0.0183639398998331,"Varianza",0.000185478858754574
0.0183639398998331,"Error de Bayes (irreducible)",0.06
0.0183639398998331,"Error de prueba (Test MSE)",0.493809688378795
0.0183639398998331,"Error de entrenamiento",0.589916694769524
0.0200333889816361,"Sesgo cuadrático (bias²)",0.432150551419868
0.0200333889816361,"Varianza",0.000220735170749245
0.0200333889816361,"Error de Bayes (irreducible)",0.06
0.0200333889816361,"Error de prueba (Test MSE)",0.492371286590617
0.0200333889816361,"Error de entrenamiento",0.589001702893805
0.0217028380634391,"Sesgo cuadrático (bias²)",0.430679401673908
0.0217028380634391,"Varianza",0.000259057249004323
0.0217028380634391,"Error de Bayes (irreducible)",0.06
0.0217028380634391,"Error de prueba (Test MSE)",0.490938458922913
0.0217028380634391,"Error de entrenamiento",0.588086989724109
0.0233722871452421,"Sesgo cuadrático (bias²)",0.429210760282162
0.0233722871452421,"Varianza",0.000300445093519806
0.0233722871452421,"Error de Bayes (irreducible)",0.06
0.0233722871452421,"Error de prueba (Test MSE)",0.489511205375682
0.0233722871452421,"Error de entrenamiento",0.587172555260437
0.0250417362270451,"Sesgo cuadrático (bias²)",0.427744627244629
0.0250417362270451,"Varianza",0.000344898704295696
0.0250417362270451,"Error de Bayes (irreducible)",0.06
0.0250417362270451,"Error de prueba (Test MSE)",0.488089525948924
0.0250417362270451,"Error de entrenamiento",0.586258399502788
0.0267111853088481,"Sesgo cuadrático (bias²)",0.426281002561308
0.0267111853088481,"Varianza",0.000392418081331992
0.0267111853088481,"Error de Bayes (irreducible)",0.06
0.0267111853088481,"Error de prueba (Test MSE)",0.48667342064264
0.0267111853088481,"Error de entrenamiento",0.585344522451164
0.0283806343906511,"Sesgo cuadrático (bias²)",0.424819886232201
0.0283806343906511,"Varianza",0.000443003224628694
0.0283806343906511,"Error de Bayes (irreducible)",0.06
0.0283806343906511,"Error de prueba (Test MSE)",0.48526288945683
0.0283806343906511,"Error de entrenamiento",0.584430924105563
0.0300500834724541,"Sesgo cuadrático (bias²)",0.423361278257307
0.0300500834724541,"Varianza",0.000496654134185802
0.0300500834724541,"Error de Bayes (irreducible)",0.06
0.0300500834724541,"Error de prueba (Test MSE)",0.483857932391493
0.0300500834724541,"Error de entrenamiento",0.583517604465985
0.0317195325542571,"Sesgo cuadrático (bias²)",0.421905178636626
0.0317195325542571,"Varianza",0.000553370810003317
0.0317195325542571,"Error de Bayes (irreducible)",0.06
0.0317195325542571,"Error de prueba (Test MSE)",0.482458549446629
0.0317195325542571,"Error de entrenamiento",0.582604563532432
0.0333889816360601,"Sesgo cuadrático (bias²)",0.420451587370158
0.0333889816360601,"Varianza",0.000613153252081237
0.0333889816360601,"Error de Bayes (irreducible)",0.06
0.0333889816360601,"Error de prueba (Test MSE)",0.481064740622239
0.0333889816360601,"Error de entrenamiento",0.581691801304902
0.0350584307178631,"Sesgo cuadrático (bias²)",0.419000504457903
0.0350584307178631,"Varianza",0.000676001460419564
0.0350584307178631,"Error de Bayes (irreducible)",0.06
0.0350584307178631,"Error de prueba (Test MSE)",0.479676505918322
0.0350584307178631,"Error de entrenamiento",0.580779317783395
0.0367278797996661,"Sesgo cuadrático (bias²)",0.417551929899861
0.0367278797996661,"Varianza",0.000741915435018297
0.0367278797996661,"Error de Bayes (irreducible)",0.06
0.0367278797996661,"Error de prueba (Test MSE)",0.478293845334879
0.0367278797996661,"Error de entrenamiento",0.579867112967913
0.0383973288814691,"Sesgo cuadrático (bias²)",0.416105863696032
0.0383973288814691,"Varianza",0.000810895175877436
0.0383973288814691,"Error de Bayes (irreducible)",0.06
0.0383973288814691,"Error de prueba (Test MSE)",0.47691675887191
0.0383973288814691,"Error de entrenamiento",0.578955186858454
0.0400667779632721,"Sesgo cuadrático (bias²)",0.414662305846416
0.0400667779632721,"Varianza",0.000882940682996982
0.0400667779632721,"Error de Bayes (irreducible)",0.06
0.0400667779632721,"Error de prueba (Test MSE)",0.475545246529413
0.0400667779632721,"Error de entrenamiento",0.578043539455018
0.0417362270450751,"Sesgo cuadrático (bias²)",0.413221256351013
0.0417362270450751,"Varianza",0.000958051956376933
0.0417362270450751,"Error de Bayes (irreducible)",0.06
0.0417362270450751,"Error de prueba (Test MSE)",0.47417930830739
0.0417362270450751,"Error de entrenamiento",0.577132170757607
0.0434056761268781,"Sesgo cuadrático (bias²)",0.411782715209824
0.0434056761268781,"Varianza",0.00103622899601729
0.0434056761268781,"Error de Bayes (irreducible)",0.06
0.0434056761268781,"Error de prueba (Test MSE)",0.472818944205841
0.0434056761268781,"Error de entrenamiento",0.576221080766219
0.0450751252086811,"Sesgo cuadrático (bias²)",0.410346682422847
0.0450751252086811,"Varianza",0.00111747180191806
0.0450751252086811,"Error de Bayes (irreducible)",0.06
0.0450751252086811,"Error de prueba (Test MSE)",0.471464154224765
0.0450751252086811,"Error de entrenamiento",0.575310269480854
0.0467445742904841,"Sesgo cuadrático (bias²)",0.408913157990084
0.0467445742904841,"Varianza",0.00120178037407923
0.0467445742904841,"Error de Bayes (irreducible)",0.06
0.0467445742904841,"Error de prueba (Test MSE)",0.470114938364163
0.0467445742904841,"Error de entrenamiento",0.574399736901514
0.0484140233722871,"Sesgo cuadrático (bias²)",0.407482141911533
0.0484140233722871,"Varianza",0.0012891547125008
0.0484140233722871,"Error de Bayes (irreducible)",0.06
0.0484140233722871,"Error de prueba (Test MSE)",0.468771296624034
0.0484140233722871,"Error de entrenamiento",0.573489483028197
0.0500834724540902,"Sesgo cuadrático (bias²)",0.406053634187196
0.0500834724540902,"Varianza",0.00137959481718278
0.0500834724540902,"Error de Bayes (irreducible)",0.06
0.0500834724540902,"Error de prueba (Test MSE)",0.467433229004379
0.0500834724540902,"Error de entrenamiento",0.572579507860903
0.0517529215358932,"Sesgo cuadrático (bias²)",0.404627634817071
0.0517529215358932,"Varianza",0.00147310068812517
0.0517529215358932,"Error de Bayes (irreducible)",0.06
0.0517529215358932,"Error de prueba (Test MSE)",0.466100735505196
0.0517529215358932,"Error de entrenamiento",0.571669811399634
0.0534223706176962,"Sesgo cuadrático (bias²)",0.40320414380116
0.0534223706176962,"Varianza",0.00156967232532797
0.0534223706176962,"Error de Bayes (irreducible)",0.06
0.0534223706176962,"Error de prueba (Test MSE)",0.464773816126488
0.0534223706176962,"Error de entrenamiento",0.570760393644388
0.0550918196994992,"Sesgo cuadrático (bias²)",0.401783161139462
0.0550918196994992,"Varianza",0.00166930972879117
0.0550918196994992,"Error de Bayes (irreducible)",0.06
0.0550918196994992,"Error de prueba (Test MSE)",0.463452470868253
0.0550918196994992,"Error de entrenamiento",0.569851254595166
0.0567612687813022,"Sesgo cuadrático (bias²)",0.400364686831977
0.0567612687813022,"Varianza",0.00177201289851478
0.0567612687813022,"Error de Bayes (irreducible)",0.06
0.0567612687813022,"Error de prueba (Test MSE)",0.462136699730491
0.0567612687813022,"Error de entrenamiento",0.568942394251967
0.0584307178631052,"Sesgo cuadrático (bias²)",0.398948720878704
0.0584307178631052,"Varianza",0.00187778183449879
0.0584307178631052,"Error de Bayes (irreducible)",0.06
0.0584307178631052,"Error de prueba (Test MSE)",0.460826502713203
0.0584307178631052,"Error de entrenamiento",0.568033812614792
0.0601001669449082,"Sesgo cuadrático (bias²)",0.397535263279645
0.0601001669449082,"Varianza",0.00198661653674321
0.0601001669449082,"Error de Bayes (irreducible)",0.06
0.0601001669449082,"Error de prueba (Test MSE)",0.459521879816389
0.0601001669449082,"Error de entrenamiento",0.567125509683641
0.0617696160267112,"Sesgo cuadrático (bias²)",0.396124314034799
0.0617696160267112,"Varianza",0.00209851700524803
